mean_fee,service_count,above_cap,sa3_code,sa3_name,sa4_code,sa4_name,file_source,year,month,date,city,cccpi,cpi,base_fee,index_fee,base_cccpi,index_cccpi,base_cpi,index_cpi,base_prescpi,index_prescpi,adj_fee,prop_above,aprox_sub,sub_lvl
10.71,68,8,11501,Baulkham Hills,115,Sydney - Baulkham Hills and Hawkesbury,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.37,103.2786885245902,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.824058697208304,0.11764705882352941,2.4264157973174747,control
10.42,15,2,11502,Dural - Wisemans Ferry,115,Sydney - Baulkham Hills and Hawkesbury,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.99,104.30430430430431,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.585125268432355,0.13333333333333333,3.4520315770315904,control
9.55,5,0,11503,Hawkesbury,115,Sydney - Baulkham Hills and Hawkesbury,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.11,104.82985729967072,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.868324982104509,0,3.9775845723980012,control
9.78,21,0,11504,Rouse Hill - McGraths Hill,115,Sydney - Baulkham Hills and Hawkesbury,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.62,101.66320166320166,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.057823908375088,0,0.810928935928942,control
9.16,62,0,11601,Blacktown,116,Sydney - Blacktown,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.07,100.99228224917309,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.547000715819613,0,0.14000952190036742,control
9.95,41,1,11602,Blacktown - North,116,Sydney - Blacktown,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.71,102.47167868177137,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.1978883321403,0.024390243902439025,1.6194059544986459,control
8.85,43,0,11603,Mount Druitt,116,Sydney - Blacktown,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.82,100.34013605442176,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.291589119541875,0,-0.5121366728509571,control
10.63,21,1,11701,Botany,117,Sydney - City and Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.38,102.40847784200386,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.758146027201144,0.047619047619047616,1.5562051147311422,control
11.79,22,14,11702,Marrickville - Sydenham - Petersham,117,Sydney - City and Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.62,101.46299483648882,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.713879742304938,0.6363636363636364,0.6107221092160984,control
12.62,104,68,11703,Sydney Inner City,117,Sydney - City and Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.47,101.20288692862869,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.397723693629205,0.6538461538461539,0.35061420135596677,control
14.03,67,58,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,13.86,101.22655122655122,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.559434502505367,0.8656716417910447,0.3742784992785033,control
12.44,68,44,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.26,101.46818923327896,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.249420186113097,0.6470588235294118,0.6159165060062435,control
9.64,94,3,11901,Bankstown,119,Sydney - Inner South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.46,101.90274841437632,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.942476735862563,0.031914893617021274,1.0504756871035994,control
9.58,72,1,11902,Canterbury,119,Sydney - Inner South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.38,102.1321961620469,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.8930422333571935,0.013888888888888888,1.279923434774176,control
10.35,59,8,11903,Hurstville,119,Sydney - Inner South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.2,101.47058823529412,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.52745168217609,0.13559322033898305,0.6183155080213965,control
9.87,57,1,11904,Kogarah - Rockdale,119,Sydney - Inner South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.75,101.23076923076921,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.13197566213314,0.017543859649122806,0.37849650349649266,control
11.62,38,17,12001,Canada Bay,120,Sydney - Inner West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.47,101.3077593722755,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.573815318539726,0.4473684210526316,0.4554866450027788,control
13.11,34,31,12002,Leichhardt,120,Sydney - Inner West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.94,101.31375579598145,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.801438797423048,0.9117647058823529,0.46148306870873057,control
11.14,66,20,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11,101.27272727272727,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.178339298496779,0.30303030303030304,0.42045454545454675,control
12.87,65,44,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.58,102.30524642289348,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.603700787401573,0.676923076923077,1.4529736956207557,control
10.97,39,9,12102,Hornsby,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.7,102.52336448598132,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.038274874731568,0.23076923076923078,1.6710917587085987,control
13.51,45,40,12103,Ku-ring-gai,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,13.29,101.65537998495108,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.131002147458839,0.8888888888888888,0.8031072576783629,control
14.36,43,42,12104,North Sydney - Mosman,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,14.26,100.70126227208975,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.831324266284897,0.9767441860465116,-0.15101045518296985,control
13.59,20,19,12201,Manly,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,13.36,101.72155688622755,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.196914817465997,0.95,0.8692841589548266,control
11.43,20,8,12202,Pittwater,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.24,101.69039145907473,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.417272727272726,0.4,0.8381187318020125,control
11.33,71,17,12203,Warringah,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.17,101.43240823634736,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.33488188976378,0.23943661971830985,0.580135509074637,control
9.14,33,0,12301,Camden,123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.06,100.88300220750553,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.530522548317824,0,0.030729480232807305,control
8.55,77,1,12302,Campbelltown (NSW),123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.38,102.02863961813841,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.044416607015032,0.012987012987012988,1.176366890865694,control
7.79,16,0,12303,Wollondilly,123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,7.61,102.36530880420499,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,6.4182462419470285,0,1.5130360769322664,control
9.23,24,0,12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.07,101.76405733186328,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.6046743020758765,0,0.9117846045905651,control
9.24,75,1,12403,Penrith,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.12,101.31578947368422,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.612913385826771,0.013333333333333334,0.4635167464115,control
8.9,19,0,12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.67,102.65282583621685,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.332784538296349,0,1.8005531089441291,control
