mean_fee,service_count,above_cap,sa3_code,sa3_name,sa4_code,sa4_name,file_source,year,month,date,city,cccpi,cpi
10.58,14,0,10102,Queanbeyan,101,Capital Region,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.29,8,0,10103,Snowy Mountains,101,Capital Region,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.23,22,0,10104,South Coast,101,Capital Region,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.77,14,1,10105,Goulburn - Mulwaree,101,Capital Region,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.6,13,1,10106,Young - Yass,101,Capital Region,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.37,68,1,10201,Gosford,102,Central Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.23,55,1,10202,Wyong,102,Central Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.57,16,0,10301,Bathurst,103,Central West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.46,20,0,10302,Lachlan Valley,103,Central West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.24,12,0,10303,Lithgow - Mudgee,103,Central West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.49,18,0,10304,Orange,103,Central West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.13,10,0,10401,Clarence Valley,104,Coffs Harbour - Grafton,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.26,39,1,10402,Coffs Harbour,104,Coffs Harbour - Grafton,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.25,10,0,10501,Bourke - Cobar - Coonamble,105,Far West and Orana,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.64,20,0,10503,Dubbo,105,Far West and Orana,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.96,24,0,10601,Lower Hunter,106,Hunter Valley exc Newcastle,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.38,35,0,10602,Maitland,106,Hunter Valley exc Newcastle,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.68,22,1,10603,Port Stephens,106,Hunter Valley exc Newcastle,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.58,5,0,10604,Upper Hunter,106,Hunter Valley exc Newcastle,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.61,29,1,10701,Dapto - Port Kembla,107,Illawarra,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.85,47,3,10703,Kiama - Shellharbour,107,Illawarra,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.89,54,3,10704,Wollongong,107,Illawarra,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.36,16,3,10801,Great Lakes,108,Mid North Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.26,11,0,10802,Kempsey - Nambucca,108,Mid North Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.98,27,0,10804,Port Macquarie,108,Mid North Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.92,21,0,10805,Taree - Gloucester,108,Mid North Coast,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.85,22,1,10901,Albury,109,Murray,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
9.64,9,0,10903,Upper Murray exc. Albury,109,Murray,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
8.3,10,0,11001,Armidale,110,New England and North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,aus,143.9,114.1
