term,estimate,std_error,model
treatment1,0.2789133013990253,0.008835301833344158,pmod3_HC1
treatment2,0.01680777970892998,0.009249226920715158,pmod3_HC1
time,0.15809771073475629,0.0019593772606367977,pmod3_HC1
timesince1,0.2132112479925596,0.0038345565743897747,pmod3_HC1
timesince2,-0.04176399935085521,0.004603744469276407,pmod3_HC1
treatment1,0.03321733895245357,0.008115358920937735,pmod4_HC1
treatment2,0.07352081362346272,0.009547967617529355,pmod4_HC1
time,0.12393076459963864,0.0024164821945842877,pmod4_HC1
timesince1,0.07427453341360606,0.003748405536757729,pmod4_HC1
timesince2,0.04213765373699256,0.004226842566503309,pmod4_HC1
treatment1,0.2789133013990253,0.04289019615983693,pmod3_SCC
treatment2,0.01680777970892998,0.0722701189355666,pmod3_SCC
time,0.15809771073475629,0.004841917087793762,pmod3_SCC
timesince1,0.2132112479925596,0.007157215625574073,pmod3_SCC
timesince2,-0.04176399935085521,0.022421878547658012,pmod3_SCC
treatment1,0.27891330139902604,0.008836575941337785,pmod_geo
treatment2,0.016807779708930486,0.009250560719397276,pmod_geo
time,0.15243643540453655,0.0034964457456013727,pmod_geo
timesince1,0.21321124799255942,0.003835109542389815,pmod_geo
timesince2,-0.04176399935085505,0.004604408359173859,pmod_geo
unit_time,7.449046487131238e-5,4.0389365325483626e-5,pmod_geo
treatment1,3.4352779269514513,0.030083366702850056,pmod_timeflex
treatment2,2.242680598989996,0.018305847690920852,pmod_timeflex
